d, τ, µ
20 ,  0 ,  -0.06614146348493385
20 ,  10 ,  -1.5878931146432218
20 ,  20 ,  -3.0806057636491544
20 ,  30 ,  -4.176126458046602
20 ,  40 ,  -4.814238279990304
20 ,  50 ,  -4.938664737754759
20 ,  60 ,  -4.998475798509614
20 ,  70 ,  -5.0028660945745305
20 ,  80 ,  -4.986834844148191
20 ,  90 ,  -4.944551685626529
20 ,  100 ,  -4.920140284686781
20 ,  110 ,  -4.8714934219845
20 ,  120 ,  -4.8108943182497
20 ,  130 ,  -4.77953789259462
20 ,  140 ,  -4.755902314409178
20 ,  150 ,  -4.663832350848235
20 ,  160 ,  -4.609038973344587
20 ,  170 ,  -4.588781991381933
20 ,  180 ,  -4.564855143126503
20 ,  190 ,  -4.498138262382157
20 ,  200 ,  -4.441693651560916
20 ,  210 ,  -4.414015527980034
20 ,  220 ,  -4.354344591357589
20 ,  230 ,  -4.30025126154574
20 ,  240 ,  -4.2591988452153045
20 ,  250 ,  -4.235536002404874
20 ,  260 ,  -4.139038820990776
20 ,  270 ,  -4.125544434218005
20 ,  280 ,  -4.086396186845399
20 ,  290 ,  -4.0476676180490365